,id,popularity,title,vote_average,vote_count,year,month,day,director_name,gender,revenue_Mdollars,budget_Mdollars
22,43627,35,Spider-Man 2,6.7,4321,2004,Jun,Friday,Sam Raimi,Male,783.77,200.0
23,43629,78,Alice in Wonderland,6.4,4645,2010,Mar,Wednesday,Tim Burton,Male,1025.49,200.0
24,43630,3,X-Men: The Last Stand,6.3,3525,2006,May,Wednesday,Brett Ratner,Male,459.36,210.0
25,43632,21,Transformers: Revenge of the Fallen,6.0,3138,2009,Jun,Friday,Michael Bay,Male,836.3,150.0
26,43633,116,Transformers: Age of Extinction,5.8,3095,2014,Jun,Wednesday,Michael Bay,Male,1091.41,210.0
27,43634,46,Oz: The Great and Powerful,5.7,3530,2013,Mar,Thursday,Sam Raimi,Male,491.87,200.0
28,43638,51,Green Lantern,5.1,2487,2011,Jun,Thursday,Martin Campbell,Male,219.85,200.0
29,43640,71,Terminator Salvation,5.9,2463,2009,May,Wednesday,McG,Male,371.35,200.0
30,43641,102,Furious 7,7.3,4176,2015,Apr,Wednesday,James Wan,Male,1506.25,190.0
31,43642,81,World War Z,6.7,5560,2013,Jun,Thursday,Marc Forster,Male,531.87,200.0
32,43643,118,X-Men: Days of Future Past,7.5,6032,2014,May,Thursday,Bryan Singer,Male,747.86,250.0
33,43645,43,Jack the Giant Slayer,5.5,2598,2013,Feb,Wednesday,Bryan Singer,Male,197.69,195.0
34,43647,62,Prince of Persia: The Sands of Time,6.2,2317,2010,May,Wednesday,Mike Newell,Male,335.15,150.0
35,43648,56,Pacific Rim,6.7,4794,2013,Jul,Thursday,Guillermo del Toro,Male,407.6,180.0
36,43649,28,Transformers: Dark of the Moon,6.1,3299,2011,Jun,Tuesday,Michael Bay,Male,1123.75,195.0
37,43650,75,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,2008,May,Wednesday,Steven Spielberg,Male,786.64,185.0
38,43653,65,Star Trek Beyond,6.6,2568,2016,Jul,Thursday,Justin Lin,,343.47,185.0
39,43655,22,Rush Hour 3,6.1,783,2007,Aug,Wednesday,Brett Ratner,Male,258.02,140.0
40,43656,45,2012,5.6,4903,2009,Oct,Saturday,Roland Emmerich,Male,769.65,200.0
41,43657,39,A Christmas Carol,6.6,1095,2009,Nov,Wednesday,Robert Zemeckis,Male,325.23,200.0
42,43658,85,Jupiter Ascending,5.2,2768,2015,Feb,Wednesday,Lilly Wachowski,Female,183.99,176.0
43,43660,67,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,2005,Dec,Wednesday,Andrew Adamson,Male,748.81,180.0
44,43661,139,X-Men: Apocalypse,6.4,4721,2016,May,Wednesday,Bryan Singer,Male,543.93,178.0
45,43662,187,The Dark Knight,8.2,12002,2008,Jul,Wednesday,Christopher Nolan,Male,1004.56,185.0
46,43665,120,Iron Man,7.4,8776,2008,Apr,Wednesday,Jon Favreau,Male,585.17,140.0
47,43666,32,Hugo,7.0,2141,2011,Nov,Tuesday,Martin Scorsese,Male,185.77,170.0
48,43667,40,Wild Wild West,5.1,1020,1999,Jun,Tuesday,Barry Sonnenfeld,Male,222.1,170.0
49,43668,60,The Mummy: Tomb of the Dragon Emperor,5.2,1387,2008,Jul,Tuesday,Rob Cohen,Male,401.13,145.0
50,43669,90,Suicide Squad,5.9,7458,2016,Aug,Tuesday,David Ayer,,745.0,175.0
51,43670,27,Evan Almighty,5.3,1151,2007,Jun,Saturday,Tom Shadyac,Male,173.0,175.0
52,43671,79,Edge of Tomorrow,7.6,4858,2014,May,Tuesday,Doug Liman,Male,370.54,178.0
53,43672,44,Waterworld,5.9,992,1995,Jul,Friday,Kevin Reynolds,,264.22,175.0
54,43675,94,The Jungle Book,6.7,2892,2016,Apr,Thursday,Jon Favreau,Male,966.55,175.0
55,43676,77,Iron Man 2,6.6,6849,2010,Apr,Wednesday,Jon Favreau,Male,623.93,200.0
56,43687,47,The Polar Express,6.4,1474,2004,Nov,Wednesday,Robert Zemeckis,Male,305.88,165.0
57,43688,48,Independence Day: Resurgence,4.9,2491,2016,Jun,Wednesday,Roland Emmerich,Male,389.68,165.0
58,43692,724,Interstellar,8.1,10867,2014,Nov,Wednesday,Christopher Nolan,Male,675.12,165.0
59,43693,167,Inception,8.1,13752,2010,Jul,Wednesday,Christopher Nolan,Male,825.53,160.0
60,43695,108,The Hobbit: An Unexpected Journey,7.0,8297,2012,Nov,Monday,Peter Jackson,Male,1021.1,250.0
61,43696,6,The Fast and the Furious,6.6,3428,2001,Jun,Friday,Rob Cohen,Male,207.28,38.0
62,43697,60,The Curious Case of Benjamin Button,7.3,3292,2008,Nov,Monday,David Fincher,Male,333.93,150.0
63,43699,127,The Hunger Games: Mockingjay - Part 2,6.6,3984,2015,Nov,Wednesday,Francis Lawrence,Male,653.43,160.0
64,43700,35,The Sorcerer's Apprentice,5.8,1470,2010,Jul,Tuesday,Jon Turteltaub,Male,215.28,150.0
65,43701,21,Poseidon,5.5,583,2006,May,Friday,Wolfgang Petersen,Male,181.67,160.0
66,43706,49,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514,2010,Aug,Friday,Michael Apted,Male,415.69,155.0
67,43707,34,Pearl Harbor,6.6,1791,2001,May,Monday,Michael Bay,Male,449.22,140.0
68,43708,25,Transformers,6.6,4040,2007,Jun,Wednesday,Michael Bay,Male,709.71,150.0
69,43709,39,Alexander,5.6,927,2004,Nov,Sunday,Oliver Stone,Male,167.3,155.0
70,43711,101,Harry Potter and the Goblet of Fire,7.5,5608,2005,Nov,Saturday,Mike Newell,Male,895.92,150.0
71,43712,56,Hancock,6.2,2961,2008,Jul,Tuesday,Peter Berg,Male,624.03,150.0
72,43713,70,I Am Legend,6.9,4853,2007,Dec,Friday,Francis Lawrence,Male,585.35,150.0
73,43714,53,Charlie and the Chocolate Factory,6.7,3624,2005,Jul,Wednesday,Tim Burton,Male,474.97,150.0
74,43716,115,Batman Begins,7.5,7359,2005,Jun,Friday,Christopher Nolan,Male,374.22,150.0
75,43718,81,Night at the Museum: Battle of the Smithsonian,5.9,1971,2009,May,Wednesday,Shawn Levy,Male,413.11,150.0
76,43720,73,The Matrix Revolutions,6.4,3096,2003,Nov,Wednesday,Lilly Wachowski,Female,424.99,150.0
77,43722,70,The Matrix Reloaded,6.7,3443,2003,May,Thursday,Lilly Wachowski,Female,738.6,150.0
78,43724,434,Mad Max: Fury Road,7.2,9427,2015,May,Wednesday,George Miller,Male,378.86,150.0
79,43725,67,Angels & Demons,6.5,2129,2009,May,Wednesday,Ron Howard,Male,356.61,150.0
80,43726,86,Thor,6.6,6525,2011,Apr,Thursday,Kenneth Branagh,Male,449.33,150.0
81,43729,44,Wrath of the Titans,5.5,1431,2012,Mar,Tuesday,Jonathan Liebesman,,301.0,150.0
82,43730,50,Dark Shadows,5.7,2320,2012,May,Tuesday,Tim Burton,Male,245.53,150.0
83,43735,33,The Last Airbender,4.7,1151,2010,Jun,Wednesday,M. Night Shyamalan,Male,318.5,150.0
84,43737,39,White House Down,6.4,1891,2013,Jun,Thursday,Roland Emmerich,Male,205.37,150.0
85,43740,48,Pan,5.9,954,2015,Sep,Thursday,Joe Wright,Male,128.39,150.0
86,43741,38,Mr. Peabody & Sherman,6.7,843,2014,Feb,Friday,Rob Minkoff,Male,272.91,145.0
87,43742,66,Troy,6.9,2759,2004,May,Thursday,Wolfgang Petersen,Male,497.41,175.0
88,43744,54,Die Another Day,5.8,1092,2002,Nov,Sunday,Lee Tamahori,Male,431.97,140.0
89,43746,58,Armageddon,6.4,2482,1998,Jul,Wednesday,Michael Bay,Male,553.8,140.0
90,43747,91,Men in Black II,6.0,3114,2002,Jul,Wednesday,Barry Sonnenfeld,Male,441.82,140.0
91,43748,35,Beowulf,5.5,841,2007,Nov,Monday,Robert Zemeckis,Male,195.74,70.0
92,43753,52,The Last Samurai,7.3,1895,2003,Dec,Friday,Edward Zwick,Male,456.76,140.0
93,43754,101,Exodus: Gods and Kings,5.6,1921,2014,Dec,Wednesday,Ridley Scott,Male,268.03,140.0
94,43756,82,Spider-Man,6.8,5265,2002,May,Wednesday,Sam Raimi,Male,821.71,139.0
95,43758,56,Gods of Egypt,5.3,1277,2016,Feb,Thursday,Alex Proyas,Male,150.68,140.0
96,43759,17,Stealth,4.9,331,2005,Jul,Thursday,Rob Cohen,Male,76.93,135.0
97,43760,64,Watchmen,7.0,2811,2009,Mar,Thursday,Zack Snyder,Male,185.26,130.0
98,43761,24,Lethal Weapon 4,6.3,767,1998,Jul,Friday,Richard Donner,Male,285.44,140.0
99,43762,34,Hulk,5.3,1533,2003,Jun,Thursday,Ang Lee,Male,245.36,137.0
100,43763,59,G.I. Joe: Retaliation,5.4,3025,2013,Mar,Tuesday,Jon M. Chu,Male,371.88,130.0
101,43767,39,The World Is Not Enough,6.0,862,1999,Nov,Monday,Michael Apted,Male,361.83,135.0
102,43769,99,The Twilight Saga: Breaking Dawn - Part 2,6.1,2553,2012,Nov,Tuesday,Bill Condon,Male,829.0,120.0
103,43770,17,Happy Feet Two,5.8,373,2011,Nov,Thursday,George Miller,Male,150.41,130.0
104,43771,62,The Incredible Hulk,6.1,3021,2008,Jun,Thursday,Louis Leterrier,Male,163.71,150.0
105,43772,44,The BFG,6.0,1000,2016,Jun,Wednesday,Steven Spielberg,Male,183.35,140.0
106,43773,100,The Revenant,7.3,6396,2015,Dec,Friday,Alejandro González Iñárritu,Male,532.95,135.0
107,43775,29,Rango,6.6,2051,2011,Mar,Wednesday,Gore Verbinski,Male,245.72,135.0
108,43777,45,The Bourne Ultimatum,7.3,2888,2007,Aug,Friday,Paul Greengrass,Male,442.82,70.0
109,43780,76,The Hunger Games: Catching Fire,7.4,6495,2013,Nov,Friday,Francis Lawrence,Male,847.42,130.0
110,43782,48,War of the Worlds,6.2,2322,2005,Jun,Tuesday,Steven Spielberg,Male,591.74,132.0
111,43783,38,Bad Boys II,6.3,1564,2003,Jul,Friday,Michael Bay,Male,273.34,130.0
112,43785,48,Salt,6.2,2093,2010,Jul,Wednesday,Phillip Noyce,Male,293.33,110.0
113,43786,46,Noah,5.6,2350,2014,Mar,Thursday,Darren Aronofsky,Male,362.64,125.0
114,43787,89,The Adventures of Tintin,6.7,2061,2011,Oct,Tuesday,Steven Spielberg,Male,371.94,130.0
115,43790,42,After Earth,5.0,2532,2013,May,Thursday,M. Night Shyamalan,Male,243.84,130.0
116,43792,115,Night at the Museum: Secret of the Tomb,6.1,1851,2014,Dec,Wednesday,Shawn Levy,Male,349.42,127.0
117,43794,109,Harry Potter and the Philosopher's Stone,7.5,7006,2001,Nov,Friday,Chris Columbus,Male,976.48,125.0
118,43795,39,R.I.P.D.,5.4,1260,2013,Jul,Thursday,Robert Schwentke,Male,61.65,130.0
119,43796,271,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985,2003,Jul,Wednesday,Gore Verbinski,Male,655.01,140.0
120,43797,206,The Hunger Games: Mockingjay - Part 1,6.6,5584,2014,Nov,Tuesday,Francis Lawrence,Male,752.1,125.0
121,43798,45,The Da Vinci Code,6.5,2704,2006,May,Wednesday,Ron Howard,Male,767.82,125.0
122,43800,2,X2,6.8,3506,2003,Apr,Thursday,Bryan Singer,Male,407.71,110.0
123,43801,7,Fast Five,7.1,2438,2011,Apr,Wednesday,Justin Lin,,626.14,125.0
124,43802,81,Sherlock Holmes: A Game of Shadows,7.0,3886,2011,Nov,Tuesday,Guy Ritchie,Male,334.62,125.0
125,43803,47,Clash of the Titans,5.6,2233,2010,Apr,Thursday,Louis Leterrier,Male,232.71,125.0
126,43804,43,Total Recall,7.1,1710,1990,Jun,Friday,Paul Verhoeven,Male,261.32,65.0
127,43805,27,The 13th Warrior,6.4,510,1999,Aug,Friday,John McTiernan,,61.7,160.0
128,43807,50,Batman & Robin,4.2,1418,1997,Jun,Friday,Joel Schumacher,Male,238.21,125.0
129,43808,45,How the Grinch Stole Christmas,6.2,1386,2000,Nov,Friday,Ron Howard,Male,345.14,123.0
130,43809,41,The Day After Tomorrow,6.2,2392,2004,May,Wednesday,Roland Emmerich,Male,544.27,125.0
131,43810,54,Mission: Impossible II,5.9,1928,2000,May,Wednesday,John Woo,Male,546.39,125.0
132,43811,25,The Perfect Storm,6.2,597,2000,Mar,Wednesday,Wolfgang Petersen,Male,325.76,120.0
133,43812,60,Fantastic 4: Rise of the Silver Surfer,5.4,2589,2007,Jun,Wednesday,Tim Story,Male,289.05,130.0
134,43813,51,Life of Pi,7.2,5797,2012,Nov,Tuesday,Ang Lee,Male,609.02,120.0
135,43815,62,Jason Bourne,5.9,2341,2016,Jul,Wednesday,Paul Greengrass,Male,415.48,120.0
136,43816,33,Charlie's Angels: Full Throttle,5.2,914,2003,Jun,Friday,McG,Male,259.18,120.0
137,43817,68,Prometheus,6.3,5080,2012,May,Wednesday,Ridley Scott,Male,403.17,130.0
138,43818,27,Stuart Little 2,5.4,613,2002,Jul,Friday,Rob Minkoff,Male,169.96,120.0
139,43822,17,Speed Racer,5.7,354,2008,May,Friday,Lilly Wachowski,Female,93.95,120.0
140,43824,44,Knight and Day,5.9,1547,2010,Jun,Tuesday,James Mangold,Male,261.93,117.0
141,43829,15,The Wolverine,6.3,4053,2013,Jul,Tuesday,James Mangold,Male,415.44,120.0
142,43833,18,Windtalkers,5.8,341,2002,Jun,Friday,John Woo,Male,77.63,115.0
143,43835,143,Teenage Mutant Ninja Turtles,5.8,2636,2014,Aug,Thursday,Jonathan Liebesman,,477.2,125.0
144,43837,16,Dante's Peak,5.7,428,1997,Feb,Friday,Roger Donaldson,Male,178.13,116.0
145,43840,48,Night at the Museum,6.3,2862,2006,Oct,Friday,Shawn Levy,Male,574.48,110.0
146,43843,23,The Patriot,6.8,1099,2000,Jun,Wednesday,Roland Emmerich,Male,215.29,110.0
147,43844,76,Ocean's Twelve,6.4,2124,2004,Dec,Thursday,Steven Soderbergh,Male,362.74,110.0
148,43845,44,Mr. & Mrs. Smith,6.5,2965,2005,Jun,Tuesday,Doug Liman,Male,478.21,110.0
149,43846,103,Insurgent,6.2,3829,2015,Mar,Wednesday,Robert Schwentke,Male,295.24,110.0
150,43847,45,The Aviator,7.0,1489,2004,Dec,Friday,Martin Scorsese,Male,102.0,116.0
151,43851,36,The Smurfs,5.5,1179,2011,Jul,Friday,Raja Gosnell,Male,563.75,110.0
152,43853,86,Allegiant,5.9,1998,2016,Mar,Wednesday,Robert Schwentke,Male,179.25,110.0
153,43854,37,Real Steel,6.6,2692,2011,Sep,Wednesday,Shawn Levy,Male,299.27,110.0
154,43855,32,The Smurfs 2,5.5,695,2013,Jul,Tuesday,Raja Gosnell,Male,347.43,105.0
155,43856,23,Speed 2: Cruise Control,4.1,434,1997,Jun,Friday,Jan de Bont,Male,164.51,160.0
156,43859,138,The Lord of the Rings: The Fellowship of the Ring,8.0,8705,2001,Dec,Tuesday,Peter Jackson,Male,871.37,93.0
157,43860,22,Around the World in 80 Days,5.7,672,2004,Jun,Wednesday,Frank Coraci,Male,72.18,110.0
158,43861,18,Ali,6.7,447,2001,Dec,Tuesday,Michael Mann,Male,87.71,107.0
159,43863,95,"I, Robot",6.7,3793,2004,Jul,Thursday,Alex Proyas,Male,347.23,120.0
160,43864,44,Kingdom of Heaven,6.6,1157,2005,May,Tuesday,Ridley Scott,Male,211.64,130.0
161,43865,30,Stuart Little,5.8,959,1999,Dec,Friday,Rob Minkoff,Male,300.14,133.0
162,43867,167,The Martian,7.6,7268,2015,Sep,Wednesday,Ridley Scott,Male,630.16,108.0
163,43868,37,The Island,6.5,1770,2005,Jul,Wednesday,Michael Bay,Male,162.95,126.0
164,43869,1,Town & Country,3.7,16,2001,Apr,Friday,Peter Chelsom,Male,10.37,90.0
165,43871,95,Gladiator,7.9,5439,2000,May,Monday,Ridley Scott,Male,457.64,103.0
166,43872,65,Minority Report,7.1,2608,2002,Jun,Thursday,Steven Spielberg,Male,358.37,102.0
167,43873,132,Harry Potter and the Chamber of Secrets,7.4,5815,2002,Nov,Wednesday,Chris Columbus,Male,876.69,100.0
168,43874,88,Casino Royale,7.3,3855,2006,Nov,Tuesday,Martin Campbell,Male,599.05,150.0
169,43875,51,Planet of the Apes,5.6,1243,2001,Jul,Wednesday,Tim Burton,Male,362.21,100.0
170,43876,101,Terminator 2: Judgment Day,7.7,4185,1991,Jul,Monday,James Cameron,Male,520.0,100.0
171,43877,33,Public Enemies,6.5,1344,2009,Jul,Wednesday,Michael Mann,Male,214.1,80.0
172,43878,42,American Gangster,7.4,1502,2007,Nov,Friday,Ridley Scott,Male,266.47,100.0
173,43879,38,True Lies,6.8,1116,1994,Jul,Thursday,James Cameron,Male,378.88,115.0
174,43880,40,The Taking of Pelham 1 2 3,6.2,954,2009,Jun,Thursday,Tony Scott,Male,150.17,100.0
175,43881,32,Little Fockers,5.4,1060,2010,Dec,Tuesday,Paul Weitz,Male,310.65,100.0
176,43882,24,The Other Guys,6.1,1383,2010,Aug,Friday,Adam McKay,Male,170.43,100.0
177,43883,24,Eraser,5.6,543,1996,Jun,Friday,Chuck Russell,Male,242.3,100.0
178,43884,82,Django Unchained,7.8,10099,2012,Dec,Tuesday,Quentin Tarantino,Male,425.37,100.0
179,43887,53,The Expendables 2,6.1,2896,2012,Aug,Wednesday,Simon West,Male,312.57,100.0
180,43888,58,National Treasure,6.4,1926,2004,Nov,Friday,Jon Turteltaub,Male,347.45,100.0
181,43893,20,End of Days,5.5,482,1999,Nov,Wednesday,Peter Hyams,Male,211.99,100.0
182,43894,52,Blood Diamond,7.3,2281,2006,Dec,Thursday,Edward Zwick,Male,170.88,100.0
183,43895,95,The Wolf of Wall Street,7.9,6571,2013,Dec,Wednesday,Martin Scorsese,Male,392.0,100.0
184,43896,48,Batman Forever,5.2,1498,1995,May,Wednesday,Joel Schumacher,Male,336.53,100.0
185,43897,58,Starship Troopers,6.7,1560,1997,Nov,Thursday,Paul Verhoeven,Male,121.21,105.0
186,43898,73,Cloud Atlas,6.6,2977,2012,Oct,Friday,Tom Tykwer,Male,130.48,102.0
187,43899,37,Legend of the Guardians: The Owls of Ga'Hoole,6.5,703,2010,Jul,Saturday,Zack Snyder,Male,140.07,80.0
188,43901,76,Hercules,5.6,1680,2014,Jul,Wednesday,Brett Ratner,Male,243.4,100.0
189,43907,50,In the Heart of the Sea,6.5,1276,2015,Nov,Friday,Ron Howard,Male,93.82,100.0
190,43909,30,Green Zone,6.4,717,2010,Mar,Thursday,Paul Greengrass,Male,94.88,100.0
191,43913,46,Gangs of New York,7.1,1910,2002,Dec,Saturday,Martin Scorsese,Male,193.77,100.0
192,43914,12,The Flowers of War,7.1,187,2011,Dec,Thursday,Zhang Yimou,Male,95.31,94.0
193,43916,19,The Stepford Wives,5.4,334,2004,Jun,Thursday,Frank Oz,Male,102.0,90.0
194,43917,44,Black Hawk Down,7.2,1811,2001,Dec,Friday,Ridley Scott,Male,172.99,92.0
195,43918,16,The Campaign,5.6,578,2012,Aug,Thursday,Jay Roach,Male,104.91,0.0
196,43919,109,The Fifth Element,7.3,3885,1997,May,Wednesday,Luc Besson,Male,263.92,90.0
197,43923,101,Cinderella,6.7,2374,2015,Mar,Thursday,Kenneth Branagh,Male,543.51,95.0
198,43924,29,The Lovely Bones,6.6,1065,2009,Dec,Saturday,Peter Jackson,Male,93.53,65.0
199,43926,123,The Lord of the Rings: The Return of the King,8.1,8064,2003,Dec,Monday,Peter Jackson,Male,1118.89,94.0
200,43927,106,The Lord of the Rings: The Two Towers,8.0,7487,2002,Dec,Wednesday,Peter Jackson,Male,926.29,79.0
201,43929,41,Lara Croft: Tomb Raider,5.7,2192,2001,Jun,Monday,Simon West,Male,274.7,115.0
202,43933,21,The Spiderwick Chronicles,6.3,572,2008,Feb,Thursday,Mark Waters,Male,162.84,90.0
203,43937,7,Cutthroat Island,5.7,136,1995,Dec,Friday,Renny Harlin,Male,10.02,98.0
204,43938,61,Percy Jackson & the Olympians: The Lightning Thief,6.0,2010,2010,Feb,Monday,Chris Columbus,Male,226.5,95.0
205,43939,104,Men in Black,6.9,4412,1997,Jul,Wednesday,Barry Sonnenfeld,Male,589.39,90.0
206,43941,37,Unstoppable,6.3,1165,2010,Nov,Thursday,Tony Scott,Male,167.81,100.0
207,43942,35,Rush Hour 2,6.4,1054,2001,Aug,Friday,Brett Ratner,Male,347.33,90.0
208,43943,15,What Lies Beneath,6.3,488,2000,Jul,Friday,Robert Zemeckis,Male,155.46,100.0
209,43946,43,The Secret Life of Walter Mitty,7.0,3144,2013,Dec,Wednesday,Ben Stiller,Male,188.13,90.0
210,43947,40,Charlie's Angels,5.6,1232,2000,Nov,Thursday,McG,Male,264.11,92.0
211,43948,63,The Departed,7.9,4339,2006,Oct,Thursday,Martin Scorsese,Male,289.85,90.0
212,43950,43,Tropic Thunder,6.5,1667,2008,Aug,Saturday,Ben Stiller,Male,188.07,92.0
213,43951,47,The Girl with the Dragon Tattoo,7.2,2434,2011,Dec,Wednesday,David Fincher,Male,232.62,90.0
214,43952,51,Die Hard: With a Vengeance,6.9,2066,1995,May,Friday,John McTiernan,,366.1,90.0
215,43953,57,Sherlock Holmes,7.0,5766,2009,Dec,Wednesday,Guy Ritchie,Male,524.03,90.0
216,43957,38,Valkyrie,6.7,1173,2008,Dec,Thursday,Bryan Singer,Male,200.28,75.0
217,43958,40,You Don't Mess with the Zohan,5.5,1048,2008,Jun,Thursday,Dennis Dugan,Male,201.6,90.0
218,43959,140,Pixels,5.6,2513,2015,Jul,Thursday,Chris Columbus,Male,243.64,88.0
219,43960,34,A.I. Artificial Intelligence,6.8,1974,2001,Jun,Friday,Steven Spielberg,Male,235.93,100.0
220,43961,16,The Haunted Mansion,5.2,466,2003,Nov,Tuesday,Rob Minkoff,Male,182.29,90.0
221,43962,55,Contact,7.2,1308,1997,Jul,Friday,Robert Zemeckis,Male,171.12,90.0
222,43963,28,Hollow Man,5.6,634,2000,Aug,Friday,Paul Verhoeven,Male,190.21,95.0
223,43964,18,The Interpreter,6.2,392,2005,Apr,Friday,Sydney Pollack,Male,162.94,80.0
224,43966,56,Lara Croft Tomb Raider: The Cradle of Life,5.5,1418,2003,Jul,Monday,Jan de Bont,Male,156.51,95.0
225,43967,51,Now You See Me 2,6.7,3235,2016,Jun,Thursday,Jon M. Chu,Male,334.9,90.0
226,43968,20,The Saint,5.9,302,1997,Apr,Thursday,Phillip Noyce,Male,118.06,68.0
227,43969,27,Spy Game,6.8,579,2001,Nov,Sunday,Tony Scott,Male,143.05,92.0
228,43970,16,Mission to Mars,5.7,369,2000,Mar,Friday,Brian De Palma,Male,60.87,90.0
229,43972,24,Bicentennial Man,6.9,963,1999,Dec,Friday,Chris Columbus,Male,93.7,100.0
230,43977,24,Cinderella Man,7.3,616,2005,Jun,Thursday,Ron Howard,Male,108.54,88.0
231,43980,32,Twister,6.1,950,1996,May,Friday,Jan de Bont,Male,494.47,92.0
232,43981,57,Cast Away,7.5,3218,2000,Dec,Friday,Robert Zemeckis,Male,429.63,90.0
233,43982,37,Happy Feet,5.9,1410,2006,Nov,Thursday,George Miller,Male,384.34,100.0
234,43983,53,The Bourne Supremacy,7.2,2825,2004,Jul,Friday,Paul Greengrass,Male,288.5,75.0
235,43984,36,Air Force One,6.2,840,1997,Jul,Friday,Wolfgang Petersen,Male,315.16,85.0
236,43985,60,Ocean's Eleven,7.2,3783,2001,Dec,Friday,Steven Soderbergh,Male,450.72,85.0
237,43986,36,The Three Musketeers,5.6,924,2011,Aug,Wednesday,Paul W.S. Anderson,Male,132.27,75.0
238,43991,36,Tower Heist,5.8,932,2011,Nov,Wednesday,Brett Ratner,Male,152.93,75.0
239,43992,44,The Holiday,6.7,1225,2006,Dec,Friday,Nancy Meyers,Female,194.17,85.0
240,43993,41,Enemy of the State,6.7,1240,1998,Nov,Friday,Tony Scott,Male,250.65,90.0
241,43994,16,It's Complicated,6.2,360,2009,Dec,Wednesday,Nancy Meyers,Female,219.1,85.0
242,43995,42,Ocean's Thirteen,6.5,1999,2007,Jun,Thursday,Steven Soderbergh,Male,311.31,85.0
243,43999,24,The Rundown,6.4,514,2003,Sep,Friday,Peter Berg,Male,80.92,85.0
244,44000,32,Last Action Hero,6.1,712,1993,Jun,Friday,John McTiernan,,137.3,85.0
245,44001,16,Memoirs of a Geisha,7.3,652,2005,Dec,Tuesday,Rob Marshall,Male,162.24,85.0
246,44002,8,The Fast and the Furious: Tokyo Drift,6.1,1705,2006,Jun,Saturday,Justin Lin,,158.47,85.0
247,44010,17,Nutty Professor II: The Klumps,4.7,332,2000,Jul,Thursday,Peter Segal,Male,123.31,84.0
248,44011,31,Scooby-Doo,5.4,820,2002,Jun,Friday,Raja Gosnell,Male,275.65,84.0
249,44013,41,Click,6.0,2104,2006,Jun,Thursday,Frank Coraci,Male,237.68,82.5
250,44014,13,Creepshow,6.7,226,1982,Nov,Friday,George A. Romero,Male,21.03,8.0
251,44016,21,Jumper,5.9,1799,2008,Feb,Sunday,Doug Liman,Male,222.23,85.0
252,44017,58,Hellboy II: The Golden Army,6.5,1527,2008,Jul,Friday,Guillermo del Toro,Male,160.39,85.0
253,44018,51,Zodiac,7.3,2023,2007,Mar,Friday,David Fincher,Male,84.79,65.0
